serial_no,semester,department,course_code,name_zh,name_en,instructor,edu_system,credit,teaching_goal,teaching_content,textbooks,self_compiled_ratio,instruction_way,grading,office_hour,teaching_weeks,flex_learning,course_domain
52001,1142,Department of Computer Science and Elec. Engineering,CE1002-*,計算機概論 Ⅱ,Introduction to Computer Science Ⅱ,"Shih, Timothy K.",Undergraduate Programme,3,"This course will be presented in English (1/3) and Mandarin (2/3).
If you want to add this course, please come to the class on the first day. Please do not send email to me.

""This Semester: This course introduces fundamental concepts of Computer Science/Engineering. In addition, the class will discuss basic programming skills. Python and C++ language will be taught. The following outline is from the main textbook. This course outline could be changed if time is not allowed to complete all lectures. Additional lectures for term projects and assignments could be added to the outline.

Winter Break: You need to study a part of Java Programming

Next Semester (Introduction to Computer Science II): Finishing C++ programming, Java Programming""","""In each week, the class will discuss fundamental CS concepts for one hour, plus programming skills for two hours. The lab experiment class (i.e., Introduction to Computer Science Lab I and II) will discuss skills to complete assignments and projects. Lectures are given in English and Mandarin.
The following outline for Computer Science Fundamentals is for both Introduction to Computer Science Ⅰand II (which will be taught in the Spring semester):
1. Introduction
2. Number System
3. Data Storage
4. Operation on Data
5. Computer Organization
6. Computer Networks
7. Operating Systems
8. Algorithms
9. Programming Languages
10. Software Engineering
11. Data Structure
12. Abstract Data Type
13. File Structure
14. Databases
15. Data Compression
16. Security
17. Theory of Computation
18. Artificial Intelligent
Four Class Modules for Programming
Module I: Practice of Python Programming
Module II: Foundation of Structured Programming (C and C++)
Module III: Foundation of Object-Oriented Programming (C++ and Java)
Module IV: Window Programming and Term Project
Python Programming – ? First Semester
? Ch1: Beginnings
? Ch2: Control
? Ch3: Algorithms and Program Development
? Ch4: Working with Strings
? Ch5: Functions-QuickStart
? Ch6: Files and Exceptions I
? Ch7: Lists and Tuples
? Ch8: More on Functions
C/C++ Programming – ? First Semester and ? Second Semester
? Chapter 2: Introduction to C++ Programming
? Chapter 3: Introduction to Classes and Objects
? Chapter 4,5: Control Statements
? Chapter 6: Functions and an Introduction to Recursion
? Chapter 7: Arrays and Vectors
? Chapter 8: Pointers
(Winter Break)
? Chapter 9, 10: Classes
? Chapter 11: Operator Overloading
? Chapter 12: Inheritance
? Chapter 15: Stream Input/Output
? Chapter 16: Exception Handling
Java Programming – ? Second Semester
Part I: Fundamentals of Programming (Ch. 1 – 8)
Home Work during Winter Break
Part II: Object-Oriented Programming
? Chapter 9 Objects and Classes
? Chapter 10 Thinking in Objects
? Chapter 11 Inheritance and Polymorphism
? Chapter 12 Exception Handling and Text I/O
? Chapter 13 Abstract Classes and Interfaces
? Chapter 17 Binary I/O
Part III: GUI Programming
? Chapter 14 JavaFX Basics
? Chapter 15 Event-Driven Programming and Animations
? Chapter 16 JavaFX Controls and Multimedia
Part IV: Data Structures and Algorithms
? Optional""
1. All students need to wear a mask when we have face-to-face class (for lab class).
2. 1/3 of class will be presented in English (i.e., Intro to CS lectures)
3. 2/3 of class will be presented in Chinese (i.e., programming class).","""1.""""Foundations of Computer Science,” 4th Edition, Behrouz Forouzan and Firouz Mosharraf, Thomson – for One Year
2.“The practice of Computing Using Python,” 3rd Edition, Punch and Enbody, ? First Semester
3.""""C++ How to Program (Late Objects Version)"""", 7th Edition, Deitel and Deitel, Prentice Hall – ? First Semester, and ? Next Semester
4.“Introduction to Java Programming,” 10th Edition (Global Edition) by Y. Daniel Liang – ? Second Semester""",40,"Lecture
		
		Practical Training Lab","Midterm – 25%
Final – 25%
Assignments – 50%","""Monday 1PM - 4PM, Thursday 10AM - Noon""",16,Reading assignments will be provided. The topic will include basic reading of Artificial Intelligence.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52002,1142,Department of Computer Science and Elec. Engineering,CE1004-A,計算機實習 Ⅱ,Introduction to Computer Science ⅡLab,"Shih, Timothy K.",Undergraduate Programme,1,"""Objective: This course introduces fundamental concepts of Computer Science/Engineering. In addition, the class will discuss basic programming skills. C and/or C++ language will be taught. The following outline is from the main textbook. This course outline could be changed if time is not allowed to complete all lectures. Additional lectures for term projects and assignments could be added to the outline. 

In each week, the class will discuss fundamental concepts for one hour, plus programming skills for two hours. The lab experiment class (i.e., Introduction to Computer Science LabⅠ) will discuss skills to complete assignments and projects.""","C/C++ Programming
Chapter 2: Introduction to C++ Programming
Chapter 3: Introduction to Classes and Objects
Chapter 4,5: Control Statements
Chapter 6: Functions and an Introduction to Recursion
Chapter 7: Arrays and Vectors
Chapter 8: Pointers
Chapter 9, 10: Classes
Chapter 11: Operator Overloading
Chapter 12: Inheritance
Chapter 15: Stream Input/Output
Chapter 16: Exception Handling
Python Programming Basic
Ch1: Beginnings
Ch2: Control
Ch3: Algorithms and Program Development
Ch4: Working with Strings
Ch5: Functions-QuickStart
Ch6: Files and Exceptions I
Ch7: Lists and Tuples
Ch8: More on Functions","“The practice of Computing Using Python,” 3rd Edition, Punch and Enbody, ½ First Semester
""C++ How to Program (Late Objects Version)"", 7th Edition, Deitel and Deitel, Prentice Hall – ½ First Semester, and ½ Next Semester
“Introduction to Java Programming,” 10th Edition (Global Edition) by Y. Daniel Liang – ½ Second Semester",40,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction","Midterm – 25%
Final – 25%
Assignments – 50%","""Monday 1PM - 4PM, Thursday 10AM - Noon""",16,Reading assignments will be provided. The topic will include basic reading of Artificial Intelligence.,人工智慧、資料科學與多媒體研究群
52003,1142,Department of Computer Science and Elec. Engineering,CE1004-B,計算機實習 Ⅱ,Introduction to Computer Science ⅡLab,"Shih, Timothy K.",Undergraduate Programme,1,"""Objective: This course introduces fundamental concepts of Computer Science/Engineering. In addition, the class will discuss basic programming skills. C and/or C++ language will be taught. The following outline is from the main textbook. This course outline could be changed if time is not allowed to complete all lectures. Additional lectures for term projects and assignments could be added to the outline. 

In each week, the class will discuss fundamental concepts for one hour, plus programming skills for two hours. The lab experiment class (i.e., Introduction to Computer Science LabⅠ) will discuss skills to complete assignments and projects.""","C/C++ Programming
Chapter 2: Introduction to C++ Programming
Chapter 3: Introduction to Classes and Objects
Chapter 4,5: Control Statements
Chapter 6: Functions and an Introduction to Recursion
Chapter 7: Arrays and Vectors
Chapter 8: Pointers
Chapter 9, 10: Classes
Chapter 11: Operator Overloading
Chapter 12: Inheritance
Chapter 15: Stream Input/Output
Chapter 16: Exception Handling
Python Programming Basic
Ch1: Beginnings
Ch2: Control
Ch3: Algorithms and Program Development
Ch4: Working with Strings
Ch5: Functions-QuickStart
Ch6: Files and Exceptions I
Ch7: Lists and Tuples
Ch8: More on Functions","“The practice of Computing Using Python,” 3rd Edition, Punch and Enbody, ½ First Semester
""C++ How to Program (Late Objects Version)"", 7th Edition, Deitel and Deitel, Prentice Hall – ½ First Semester, and ½ Next Semester
“Introduction to Java Programming,” 10th Edition (Global Edition) by Y. Daniel Liang – ½ Second Semester",40,"Lecture
		Seminar
		Practical Training Lab
		Individual Instruction","Midterm – 25%
Final – 25%
Assignments – 50%","""Monday 1PM - 4PM, Thursday 10AM - Noon""",16,Reading assignments will be provided. The topic will include basic reading of Artificial Intelligence.,人工智慧、資料科學與多媒體研究群
52004,1142,Department of Computer Science and Elec. Engineering,CE1006-A,工程數學,Engineering Mathematics,"Wang, Jia-Ching",Undergraduate Programme,3,Studying differential equations,"“1. First-Order Differential Equations
2. Second-Order Differential Equations
3. The Laplace Transform
4. Series Solutions of Differential Equations, Special Functions
5. Systems of Differential Equations
6. Fourier Analysis“","“Erwin Kreyszig, Advanced Engineering Mathematics, 10 th Edition“",0,Lecture,"Exam: 90％
Practice Course: 10％",Wednesday  3:00pm ~ 5:00pm,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52005,1142,Department of Computer Science and Elec. Engineering,CE1006-B,工程數學,Engineering Mathematics,"Su, Po-Chyi",Undergraduate Programme,3,Studying differential equations,"“1. First-Order Differential Equations
2. Second-Order Differential Equations
3. The Laplace Transform
4. Series Solutions of Differential Equations, Special Functions
5. Systems of Differential Equations
6. Fourier Analysis“","“Erwin Kreyszig, Advanced Engineering Mathematics Abridged Version, 10th Edition Update (Taiwan Custom Version), John Wiley ＆ Sons, Inc., 2018.“",0,Lecture,"Midterm 1 25％
Midterm 2 25％
Final 25％
Homework and participation 25％",Wed 14:00-16:00 or by appointment,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			資安、網路、資料庫與系統研究群
			
			
				、
			
		
			數位學習研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52006,1142,Department of Computer Science and Elec. Engineering,CE2004-A,程式語言,Principles of Programming Languages,"Hsu, Fu-Hau",Undergraduate Programme,3,To understand the operation principles of various programming languages.,"“1)   Preliminaries
2)   Describing Syntax and Semantics
3)   Lexical and Syntax Analysis
4)   Names, Bindings, Type Checking, and Scopes
5)   Data Types
6)   Expressions and Assignment Statements
7)   Statement-Level Control Structures
9)   Subprogram
10) Implementing Subprograms
11) Abstract Data Types and Encapsulation Constructs
12) Support for Object-Oriented Programming“","“Title:          Concepts of Programming Languages, 11th Edition
Publisher:  Addison Wesley
Author(s):  Robert W. Sebesta“",40%,Lecture,"Assignments : 25％
Midterm        : 30％
Final              : 40％
Attendance   : 5％",appointment,16,Adjust according to the progress of the lectures.,"資安、網路、資料庫與系統研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52007,1142,Department of Computer Science and Elec. Engineering,CE2004-B,程式語言,Principles of Programming Languages,"Zhuang, Yung-Yu
Liu, Chen-Chung",Undergraduate Programme,3,Developing students‘ conceptual understanding and practical skills in programming languages,"Syllabus
Chapter 1 Preliminaries
Chapter 3 Describing syntax and semantics
Chapter 3 Describing syntax and semantics
Chapter 5 Names, Binding and Scopes
Chapter 5 Names, Binding and Scopes,
Chapter 6 Data types
Chapter 7 Expressions and assignment statements
Software architecture and AI-assisted programming
Chapter 8 Statement-level control structures
Chapter 9 Subprograms
Chapter 11 Abstract data types and encapsulation constructs
Chapter 12 Supports for object-oriented programs
Chapter 13 Concurrency
Chapter 14 Exception handling and event handling","CONCEPTS OF PROGRAMMING LANGUAGES 11/E (GE)
by Robert Sebesta",60,Lecture,Mid-term exam 30％ Final exam: 30％ Group assignment: 30％ Participation: 10％,Tue 09:00-12:00,16,According to the explanation provided by the instructor during class.,"人工智慧、資料科學與多媒體研究群
			
			
				、
			
		
			軟體工程與計算理論研究群"
52008,1142,Department of Computer Science and Elec. Engineering,CE2008-*,數位系統導論,Digital Design,"Chen, Ching-Han",Undergraduate Programme,3,"1.Understand the basic concept of digital logic
2. Familiar with a variety of logic gates
3. Familiar with the combinational logic and sequential logic design and application
4. Cultivate students the basis capabilities to design the digital logic circuit","1：Introduction to Digital Systems
2：Binary Logic and Gates
3：Circuit Optimization
(test1)
4：Combinational Logic Design
5：Decoders/Multiplexers Design
6：Arithmetic Circuit
(test 2)
7：VHDL
8：VHDL Combinational Circuit Design
9：Midterm Exam
10：Sequential Circuits
11：Sequential Circuit Design
12：State Machine Design
(test3)
13：VHDL Sequential Circuit Design
14：GRAFCET discrete-event system modeling
15：GRAFCET hardware synthesis
第16週：期末考",Mano and Kime : Logic and Computer Design Fundamentals,0,Lecture,average(mid+final exam)*60％ + average(3 test)*40％,Tuesday10:00~12:00,16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52009,1142,Department of Computer Science and Elec. Engineering,CE2009-*,電子電路學,Electronic Circuits,"Ren, Hsuan",Undergraduate Programme,3,"1. Domain Knowledge and Professional Skill
2. Group experiment for Implementation, Communication and Cooperation
3. Problem Discovery and Solving","“1. DC Circuit:
(a) Resistor, Ohm‘s Law
(b) Series Circuits (Kirchhoff‘s Voltage Law)
(c) Parallel Circuits (Kirchhoff‘s Current Law)
(d) Series-Parallel Circuits (Wheatstone Bridge, Thevenin‘s Theorem)
2. AC Circuit:
RC circuit, RL circuit, RLC circuit
3. Semiconductor
Diode, Transistors, Op-Amp“","Electronics Fundamentals: Circuits, Devices, and Applications, 8th edition. By Thomas L. Floyd",40,"Lecture
		
		Practical Training Lab","Homework 30％, Lab report 30％, Midterm and Final Exams 40％","Tuesday, Thursday 12:00-13:00 or by appointment",16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
52010,1142,Department of Computer Science and Elec. Engineering,CE2010-A,數位系統實驗,Experiment of Digital Design,"Chen, Ching-Han",Undergraduate Programme,1,"1.Understand the basic concept of digital logic
2. Familiar with a variety of logic gates
3. Familiar with the combinational logic and sequential logic design and application
4. Cultivate students the basis capabilities to design the digital logic circuit","1. Experiment environment introduction
2. Combinational Logic Circuits experiment
3. Combinational Logic Circuits experiment
4：Combinational Logic Design experiment
5：Combinational Logic Design experiment
6：Arithmetic Functions and HDL  experiment
7：Arithmetic Functions and HDL  experiment
8：Sequential Circuits experiment
9 : Sequential Circuits  experiment
10：Selected Design Topics
11：Registers and Register Transfers  experiment
12：Registers and Register Transfers  experiment
13：Memory Basic experiment
14 : Computer Design experiment
15 : Computer Design experiment",Mano and Kime : Logic and Computer Design Fundamentals,0,Practical Training Lab,Grading 100％=works 40％+mid-exam30％+final-exam30％,Wednesday 10:00~12:00,16,According to the explanation provided by the instructor during class.,資安、網路、資料庫與系統研究群
